bias	preference; prejudice for; not neutral
bibliophile	lover of books
bibulous	very absorbent
bicker	to quarrel
bide	to wait
biennial	occurring every two years
bigot	prejudiced person
bilious	bad-tempered
bilk	to swindle
binge	a spree
bivouac	temporary shelter
blanch	to make pale; to avoid or pull back from
blasé	unexcited; indifferent
blasphemy	disrespect for holy things; irreverence
blatant	conspicuous; offensively noisy and loud
blazon	to display; to proclaim
bleak	unsheltered; gloomy
bleary	blurred; dimmed
blight	destruction or withering disease
bliss	extreme happiness
blithe	carefree
bludgeon	a heavy club
blunt	abrupt in speech or manner; having a dull edge
blurt (out)	to utter suddenly or indiscreetly
bluster	to speak noisily; to boast
bode	to indicate in advance, as an omen does
bogus	false, fake
bolster	to prop up; to support
bolt	to dash out suddenly; to discontinue support of
bombastic	using impressive but meaningless language
bona fide	genuine
bondage	slavery
boon	a benefit
booty	stolen money or goods
boreal	northern
borne	carried
botch	to mess up; to bungle
bounty	a reward; goodness
bourgeoisie	middle class
bovine	pertaining to oxen or cattle
braggart	one who brags
brandish	to shake or wave a weapon aggressively
brash	rude; aggressive
bravado	false bravery
brawn	muscular strength
brazen	shameless
breach	a violation or a gap
breadth	width
brevity	briefness; concise
brine	salt water
brisk	lively; quick
broach	to introduce or bring up
browbeat	to intimidate
brunt	the main force or impact, as of a blow
brusque	abrupt in manner, blunt; rough
bucolic	pertaining to the countryside; rural
buffoon	a fool
bulbous	swollen; bulb shaped
bulwark	a strong defense
bumptious	arrogant
bungle	to do things clumsily
buoyant	to float; lively
bureaucracy	system of government through departments
burgeon	to grow rapidly
burlesque	a speech or action that treats a serious subject with ridicule
burly	muscular
burnish	to polish
buttress	to prop up or support
cabal	a small group
cache	a hiding place
cacophony	unpleasant sound
cadaver	a dead body
cadence	rhythm
cajole	to persuade
calamitous	causing trouble or disastrous
calligraphy	fancy handwriting
callous	unyielding; insensitive
callow	young end inexperienced
camaraderie	loyalty; friendship
canard	a false story, report, or rumor
candid	truthful, honest
candor	honest, openness, frankness
canine	pertaining to dogs
canny	shrewd
canon	rule
cantankerous	bad-tempered
canter	smooth, easy pace
cant	statements made in a singsong tone
canvass	to make a survey
capacious	spacious
capitulate	to surrender
capricious	erratic, impulsive
captions	heading or titles
captivate	to capture or to charm
carcinogenic	causing cancer
cardinal	of major importance
careen	to swerve
caret blanche	freedom to use one's own judgment
caricature	an exaggerated portrayal
carnage	slaughter
carnal	sensual; sexual
carnivorous	flesh-eating
carouse	to engage in a noisy, wild party
carp	to complain
carrion	decaying flesh
cartel	association of businesses
cascade	to fall
caste	social class
castigate	to punish or criticize
casualty	an accident; one who is injured
cataclysm	a violent change
catacomb	underground burial place
catalyst	person or thing that speeds up a result
cataract	large waterfall; cloudiness of the eye
catastrophe	disaster
catharsis	act of purification
catholic	universal; found everywhere
caucus	a meeting
caustic	severely critical
cauterize	to burn
cavalcade	a sequence of events
cavalier	a casually indifferent person
caveat	a warning
cavil	to argue
cavort	to frolic
celerity	swiftness
celestial	heavenly
celibate	unmarried
censor	to eliminate objectionable material
censure	to criticize or condemn
centrifugal	moving away from the center
certitude	certainty
cessation	stopping
chafe	to annoy
chaff	worthless material
chagrin	embarrassment
chameleon	a changeable person
chaos	complete disorder
charisma	great appeal or attraction
charlatan	a fake
chary (of)	careful
chasm	a wide gap
chaste	pure
chastise	to punish; to purify
chattel	slave
chauvinism	fanatical devotion to one's country, sex, religion, etc.
cherub	an innocent person
chicanery	trickery
chic	stylish
chide	criticize
chimerical	imaginary; fantastic; unreal
chivalrous	courteous, courageous
choleric	easily angered
chronic	long-lasting
churlish	rude
cipher	a thing of no value
circuitous	indirect
circumlocution	roundabout way of speaking
circumscribe	to encircle
circumspect	cautious
circumvent	to surround or entrap; to go around or by-pass
citadel	a fortress
cite	to quote a passage, book, author, etc; to refer to an example
civility	politeness
clairvoyant	having great insight; keenly perceptive
clamber	to climb with effort or difficulty
clamor	noise
clandestine	secretive; private
clangor	harsh ringing sound
clarify	to make clear
clarion	clear and shrill
claustrophobia	fear of enclosed spaces
cleave	to split something apart to stick or cling to something
cleft	split; divided
clemency	mercy; leniency
cliché	a trite or worn-out expression
clientele	customers
clime	climate; region
clique	a small, exclusive group
cloistered	secluded; confined
clout	(colloquial) power; influence
cloven	divided; split
coalesce	to blend, to merge, to fuse
coddle	to treat tenderly
coerce	to force
coffer	a strongbox
cogent	convincing
cogitate	to think; to consider carefully
cognate	related; relevant
cognizant	aware of
coherent	logically connected; consistent
cohesive	tending to stick
cohort	colleague; associate; partner
coincide	to occur simultaneously
collaborate	to work together; to cooperate
collage	collection of various bits and pieces
collateral	security for payment
collate	to put together in order
colloquial	informal conversation or phrase
collusion	conspiracy; agreement to commit a crime
colossal	huge; enormous
combative	argumentative
combustible	capable of catching fire easily
comely	attractive
commemorate	honoring; remembering
commence	to begin
commendation	praise
commensurate	proportionate
commiserate	to express pity for
commodious	spacious
communal	shared
compact	firmly packed; a treaty
compatible	agreeable; harmonious
compel	to force
compendium	brief summary
compensatory	paying back
complacent	satisfied; smug; overly competent
complement	to make whole; to complete
compliant	yielding; submissive
